127.0.0.1 - - [30/Nov/2018:20:29:05 -0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:31:45 -0200] "GET /sandubas/pages/manterclassificacaomercadoria/administrar.xhtml HTTP/1.1" 200 18536
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:31:45 -0200] "POST /sandubas/pages/manterclassificacaomercadoria/modal/cadastroClassificacaoMercadoria.xhtml?pfdlgcid=684b798d-6cce-4749-b275-8cdf7a7cb777 HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:31:47 -0200] "GET /sandubas/pages/manterclassificacaomercadoria/administrar.xhtml HTTP/1.1" 200 20807
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:31:50 -0200] "POST /sandubas/pages/manterclassificacaomercadoria/administrar.xhtml HTTP/1.1" 200 2428
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:31:50 -0200] "GET /sandubas/pages/manterclassificacaomercadoria/modal/cadastroClassificacaoMercadoria.xhtml?objetoId=17&pfdlgcid=556530db-e0ba-4105-ad7b-6daf3f51fcfa HTTP/1.1" 200 5763
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:31:52 -0200] "GET /sandubas/pages/manterclassificacaomercadoria/modal/cadastroClassificacaoMercadoria.xhtml?objetoId=10%20teste%20nomex%20Teste%20descricao&pfdlgcid=2adbabd9-8049-45e8-9dcf-9ce26125b1c8 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:31:52 -0200] "GET /sandubas/404.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:31:52 -0200] "GET /sandubas/pages/erro/404.xhtml HTTP/1.1" 200 4579
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:31:52 -0200] "GET /sandubas/pages/erro/RES_NOT_FOUND HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:31:54 -0200] "GET /sandubas/pages/manterclassificacaomercadoria/administrar.xhtml HTTP/1.1" 200 20807
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:31:58 -0200] "GET /sandubas/pages/manterclassificacaomercadoria/administrar.xhtml HTTP/1.1" 200 20805
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:31:58 -0200] "POST /sandubas/pages/manterclassificacaomercadoria/administrar.xhtml HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:32:08 -0200] "GET /sandubas/login.jsp HTTP/1.1" 200 8771
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:32:08 -0200] "GET /sandubas/resources/css/estiloGoogle.css HTTP/1.1" 200 1950
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:32:08 -0200] "GET /sandubas/resources/css/modal.css HTTP/1.1" 200 2804
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:32:08 -0200] "GET /sandubas/resources/css/estilo.css HTTP/1.1" 200 14938
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:32:08 -0200] "GET /sandubas/resources/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:32:08 -0200] "GET /sandubas/resources/js/jquery.js HTTP/1.1" 200 84319
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:32:08 -0200] "GET /sandubas/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:32:08 -0200] "GET /sandubas/resources/css/sistema.css HTTP/1.1" 200 12264
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:32:08 -0200] "GET /sandubas/resources/images/addManifestacao.png HTTP/1.1" 200 3000
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:32:08 -0200] "GET /sandubas/resources/images/icon-search.png HTTP/1.1" 200 515
