127.0.0.1 - - [23/Nov/2018:21:18:21 -0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:18:56 -0200] "GET /sandubas/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:18:57 -0200] "GET /sandubas/resources/images/favicon.ico HTTP/1.1" 200 15086
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:19:10 -0200] "POST /sandubas/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:19:13 -0200] "GET /sandubas/pages/principal.xhtml HTTP/1.1" 200 9626
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:19:13 -0200] "GET /sandubas/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 12284
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:19:13 -0200] "GET /sandubas/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 261371
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:19:13 -0200] "GET /sandubas/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 86931
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:19:13 -0200] "GET /sandubas/javax.faces.resource/core.js.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 31279
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:19:13 -0200] "GET /sandubas/javax.faces.resource/fa/font-awesome.css.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 31333
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:19:13 -0200] "GET /sandubas/javax.faces.resource/locales.js.xhtml?ln=js HTTP/1.1" 200 1055
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:19:13 -0200] "GET /sandubas/javax.faces.resource/script.js.xhtml?ln=js HTTP/1.1" 200 3596
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:19:13 -0200] "GET /sandubas/javax.faces.resource/components.js.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 409040
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:19:13 -0200] "GET /sandubas/javax.faces.resource/ajaxloadingbar.gif.xhtml?ln=images HTTP/1.1" 200 10839
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:19:13 -0200] "GET /sandubas/javax.faces.resource/logo-medianeira.jpg.xhtml?ln=images HTTP/1.1" 200 8347
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:19:13 -0200] "GET /sandubas/javax.faces.resource/theme.css.xhtml?ln=primefaces-cupertino HTTP/1.1" 200 18685
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:19:13 -0200] "GET /sandubas/javax.faces.resource/components.css.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 85416
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:19:13 -0200] "GET /sandubas/javax.faces.resource/userSistema.png.xhtml?ln=images HTTP/1.1" 200 912
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:19:13 -0200] "GET /sandubas/javax.faces.resource/images/ui-bg_highlight-hard_100_f2f5f7_1x100.png.xhtml?ln=primefaces-cupertino HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:19:13 -0200] "GET /sandubas/javax.faces.resource/images/ui-icons_72a7cf_256x240.png.xhtml?ln=primefaces-cupertino HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:19:13 -0200] "GET /sandubas/javax.faces.resource/images/ui-bg_highlight-soft_100_deedf7_1x100.png.xhtml?ln=primefaces-cupertino HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:19:25 -0200] "GET /sandubas/javax.faces.resource/images/ui-bg_glass_100_e4f1fb_1x400.png.xhtml?ln=primefaces-cupertino HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:19:26 -0200] "GET /sandubas/javax.faces.resource/images/ui-icons_2694e8_256x240.png.xhtml?ln=primefaces-cupertino HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:19:27 -0200] "GET /sandubas/javax.faces.resource/images/ui-bg_glass_80_d7ebf9_1x400.png.xhtml?ln=primefaces-cupertino HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:19:28 -0200] "POST /sandubas/pages/principal.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:19:29 -0200] "GET /sandubas/pages/manterusuario/administrar.xhtml HTTP/1.1" 200 17110
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:19:29 -0200] "GET /sandubas/javax.faces.resource/filtroregistro/pesquisa.js.xhtml?ln=js HTTP/1.1" 200 2748
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:19:29 -0200] "GET /sandubas/javax.faces.resource/spacer/dot_clear.gif.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:19:29 -0200] "GET /sandubas/javax.faces.resource/images/ui-icons_3d80b3_256x240.png.xhtml?ln=primefaces-cupertino HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:19:30 -0200] "GET /sandubas/javax.faces.resource/fa/fontawesome-webfont.woff2.xhtml?ln=primefaces&v=6.2?v=4.7.0 HTTP/1.1" 200 77244
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:19:50 -0200] "GET /sandubas/javax.faces.resource/images/ui-icons_ffffff_256x240.png.xhtml?ln=primefaces-cupertino HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:19:50 -0200] "GET /sandubas/javax.faces.resource/images/ui-bg_glass_50_3baae3_1x400.png.xhtml?ln=primefaces-cupertino HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:19:50 -0200] "POST /sandubas/pages/manterusuario/administrar.xhtml HTTP/1.1" 200 2915
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:19:51 -0200] "GET /sandubas/pages/manterusuario/modal/cadastroUsuario.xhtml?pfdlgcid=3b091100-2474-416d-a729-837f53ba9199 HTTP/1.1" 200 10437
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:19:51 -0200] "GET /sandubas/javax.faces.resource/images/ui-bg_highlight-soft_25_ffef8f_1x100.png.xhtml?ln=primefaces-cupertino HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:20:09 -0200] "POST /sandubas/pages/manterusuario/administrar.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:20:09 -0200] "GET /sandubas/pages/manterperfil/administrar.xhtml HTTP/1.1" 200 22954
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:20:10 -0200] "GET /sandubas/javax.faces.resource/perfil/pesquisa.js.xhtml?ln=js HTTP/1.1" 200 1020
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:20:23 -0200] "POST /sandubas/pages/manterperfil/administrar.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:20:23 -0200] "GET /sandubas/pages/manterusuario/administrar.xhtml HTTP/1.1" 200 17112
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:20:27 -0200] "POST /sandubas/pages/manterusuario/administrar.xhtml HTTP/1.1" 200 2916
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:20:27 -0200] "GET /sandubas/pages/manterusuario/modal/cadastroUsuario.xhtml?pfdlgcid=57550fd2-9c57-4737-bc19-f9cb409b4b55 HTTP/1.1" 200 10436
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:20:40 -0200] "POST /sandubas/pages/manterusuario/administrar.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:20:40 -0200] "GET /sandubas/pages/manterperfil/administrar.xhtml HTTP/1.1" 200 22950
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:20:52 -0200] "POST /sandubas/pages/manterperfil/administrar.xhtml HTTP/1.1" 200 242
